"Active payment methods:","Verfügbare Zahlungsmittel:"
"Redirect","Weiterleitung"
"Refund not allowed for this order.","Rückerstattung ist für diesen Auftrag nicht erlaubt."
"Send support request","Support-Anfrage senden"
"SEPA-CT data","SEPA-CT Daten"
"Skrill Digital Wallet data","Skrill Digital Wallet Daten"
"Smartphone","Smartphone"
"Source order number","Quellauftragsnummer"
"Submit Transfer","Auszahlung durchführen"
"Support request sent successfully!","Support-Anfrage erfolgreich gesendet."
"Support Request","Support-Anfrage"
"Tablet","Tablet"
"Test with 3-D Secure","Test mit 3-D Secure"
"Test without 3-D Secure","Test ohne 3-D Secure"
"The payment authorization is pending.","Ihre Zahlung wurde vom Finanzdienstleister noch nicht bestätigt."
"The payment has been successfully completed.","Die Zahlung wurde erfolgreich abgeschlossen."
"The Customer ID has a fixed length of 7.","Die Customer-ID hat ein fixe Länge von 7 Zeichen."
"To","An"
"Version: %product","Version: %product"
"Void not possible anymore for this payment, please try cancel instead!","Das Aufheben der Authorisierung ist nicht mehr möglich."
"Wirecard Checkout Page Fund Transfer","Wirecard Checkout Page Auszahlung"
"Wirecard Checkout Page @Quick","Wirecard Checkout Page @Quick"
"Wirecard Checkout Page Bancontact/Mister Cash","Wirecard Checkout Page Bancontact/Mister Cash"
"Wirecard Checkout Page Credit Card - Mail Order / Telephone Order","Wirecard Checkout Page Kreditkarte - Post-/Telefonbestellung"
"Wirecard Checkout Page Credit Card","Wirecard Checkout Page Kreditkarte"
"Wirecard Checkout Page eKonto","Wirecard Checkout Page eKonto"
"Wirecard Checkout Page ePay.bg","Wirecard Checkout Page ePay.bg"
"Wirecard Checkout Page eps Online-Überweisung","Wirecard Checkout Page eps-Überweisung"
"Wirecard Checkout Page giropay","Wirecard Checkout Page giropay"
"Wirecard Checkout Page iDEAL","Wirecard Checkout Page iDEAL"
"Wirecard Checkout Page Installment","Wirecard Checkout Page Ratenzahlung"
"Wirecard Checkout Page Invoice B2B","Wirecard Checkout Page Rechnung B2B"
"Wirecard Checkout Page Invoice","Wirecard Checkout Page Rechnung"
"Wirecard Checkout Page Maestro SecureCode","Wirecard Checkout Page Maestro SecureCode"
"Wirecard Checkout Page moneta.ru","Wirecard Checkout Page moneta.ru"
"Wirecard Checkout Page My Voucher","Wirecard Checkout Page Mein Gutschein"
"Wirecard Checkout Page paybox","Wirecard Checkout Page paybox"
"Wirecard Checkout Page PayPal","Wirecard Checkout Page PayPal"
"Wirecard Checkout Page paysafecard","Wirecard Checkout Page paysafecard"
"Wirecard Checkout Page POLi","Wirecard Checkout Page POLi"
"Wirecard Checkout Page Przelewy24","Wirecard Checkout Page Przelewy24"
"Wirecard Checkout Page Select","Wirecard Checkout Page Zahlungsmittelauswahl"
"Wirecard Checkout Page SEPA Direct Debit","Wirecard Checkout Page SEPA Lastschrift"
"Wirecard Checkout Page Skrill Digital Wallet","Wirecard Checkout Page Skrill Digital Wallet"
"Wirecard Checkout Page SOFORT Banking","Wirecard Checkout Page SOFORT Überweisung"
"Wirecard Checkout Page TatraPay","Wirecard Checkout Page TatraPay"
"Wirecard Checkout Page Trustly","Wirecard Checkout Page Trustly"
"Wirecard Checkout Page TrustPay","Wirecard Checkout Page TrustPay"
"Wirecard Checkout Page Fund Transfer","Wirecard Checkout Page Auszahlung"
"Wirecard Checkout Page Support Request","Wirecard Checkout Page Support-Anfrage"
"Wirecard Checkout Page Support","Wirecard Checkout Page Support"
"You will be redirected to Wirecard Checkout Page when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard weitergeleitet."
"Your e-mail address","Ihre E-Mail-Adresse"
"Your message","Ihre Nachricht"
"Your order will be processed as soon as we receive the payment confirmation from your bank.","Ihre Bestellung wird vearbeitet, sobald wir die Zahlungsbestätigung Ihrer Bank erhalten haben."
"You have canceled the payment process!","Der Bezahlprozess wurde abgebrochen.",
